"prevalence","scenario","water"
16.3265306105714,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
42.8571428542857,"PR_02","Wet"
2.04081632657143,"PR_02","Wet"
26.5306122485714,"PR_02","Wet"
26.5306122434286,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
55.1020408142857,"PR_02","Wet"
28.5714285685714,"PR_02","Wet"
28.5714285691429,"PR_02","Wet"
18.3673469405714,"PR_02","Wet"
71.42857143,"PR_02","Wet"
24.4897959185714,"PR_02","Wet"
63.2653061228571,"PR_02","Wet"
16.3265306117143,"PR_02","Wet"
57.1428571442857,"PR_02","Wet"
73.4693877557143,"PR_02","Wet"
69.3877551,"PR_02","Wet"
42.85714286,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
20.4081632674286,"PR_02","Wet"
22.4489795928571,"PR_02","Wet"
18.3673469374286,"PR_02","Wet"
20.4081632671429,"PR_02","Wet"
16.3265306142857,"PR_02","Wet"
63.2653061214286,"PR_02","Wet"
18.3673469414286,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
48.9795918371429,"PR_02","Wet"
18.36734694,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
12.2448979602857,"PR_02","Wet"
32.6530612214286,"PR_02","Wet"
22.4489795928571,"PR_02","Wet"
32.6530612214286,"PR_02","Wet"
40.8163265342857,"PR_02","Wet"
26.5306122485714,"PR_02","Wet"
16.3265306117143,"PR_02","Wet"
24.4897959171429,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
59.1836734714286,"PR_02","Wet"
63.2653061214286,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
79.5918367328571,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
18.3673469374286,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
42.8571428542857,"PR_02","Wet"
14.2857142842857,"PR_02","Wet"
28.57142857,"PR_02","Wet"
26.5306122434286,"PR_02","Wet"
6.12244897942857,"PR_02","Wet"
40.8163265342857,"PR_02","Wet"
30.6122449,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
73.4693877557143,"PR_02","Wet"
2.04081632657143,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
0,"PR_02","Wet"
40.8163265285714,"PR_02","Wet"
12.2448979591429,"PR_02","Wet"
48.9795918371429,"PR_02","Wet"
40.81632653,"PR_02","Wet"
40.8163265342857,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
59.1836734657143,"PR_02","Wet"
0,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
12.2448979591429,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
57.14285714,"PR_02","Wet"
42.85714286,"PR_02","Wet"
0,"PR_02","Wet"
48.9795918371429,"PR_02","Wet"
20.4081632671429,"PR_02","Wet"
69.3877551042857,"PR_02","Wet"
24.4897959228571,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
30.6122448957143,"PR_02","Wet"
44.8979591842857,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
10.2040816334286,"PR_02","Wet"
16.3265306142857,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
73.4693877557143,"PR_02","Wet"
26.5306122434286,"PR_02","Wet"
16.3265306142857,"PR_02","Wet"
20.4081632657143,"PR_02","Wet"
20.4081632657143,"PR_02","Wet"
65.3061224471429,"PR_02","Wet"
65.3061224528571,"PR_02","Wet"
40.8163265342857,"PR_02","Wet"
12.2448979602857,"PR_02","Wet"
65.3061224528571,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
12.2448979591429,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
38.7755102028571,"PR_02","Wet"
48.9795918371429,"PR_02","Wet"
30.6122448942857,"PR_02","Wet"
67.3469387785714,"PR_02","Wet"
32.6530612214286,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
40.8163265342857,"PR_02","Wet"
24.4897959188571,"PR_02","Wet"
69.3877551,"PR_02","Wet"
44.8979591842857,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
30.6122448942857,"PR_02","Wet"
18.36734694,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
71.42857143,"PR_02","Wet"
24.4897959188571,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
57.14285714,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
42.85714286,"PR_02","Wet"
59.1836734657143,"PR_02","Wet"
18.3673469357143,"PR_02","Wet"
18.3673469405714,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
18.3673469414286,"PR_02","Wet"
55.1020408142857,"PR_02","Wet"
57.14285714,"PR_02","Wet"
26.5306122428571,"PR_02","Wet"
44.89795918,"PR_02","Wet"
40.8163265285714,"PR_02","Wet"
71.4285714257143,"PR_02","Wet"
42.8571428542857,"PR_02","Wet"
65.3061224471429,"PR_02","Wet"
44.89795918,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
55.1020408142857,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
34.6938775471429,"PR_02","Wet"
69.3877551042857,"PR_02","Wet"
65.3061224485714,"PR_02","Wet"
14.285714286,"PR_02","Wet"
18.3673469374286,"PR_02","Wet"
22.4489795914286,"PR_02","Wet"
24.4897959171429,"PR_02","Wet"
59.1836734657143,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
38.7755102028571,"PR_02","Wet"
22.4489795931429,"PR_02","Wet"
38.7755102028571,"PR_02","Wet"
2.04081632657143,"PR_02","Wet"
40.8163265342857,"PR_02","Wet"
36.7346938785714,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
24.4897959177143,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
4.08163265285714,"PR_02","Wet"
46.9387755114286,"PR_02","Wet"
18.3673469414286,"PR_02","Wet"
32.65306122,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
28.5714285728571,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
73.4693877557143,"PR_02","Wet"
18.36734694,"PR_02","Wet"
48.9795918357143,"PR_02","Wet"
18.36734694,"PR_02","Wet"
14.285714286,"PR_02","Wet"
24.4897959185714,"PR_02","Wet"
55.1020408142857,"PR_02","Wet"
22.4489795928571,"PR_02","Wet"
30.6122449,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
57.1428571442857,"PR_02","Wet"
46.93877551,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
59.1836734714286,"PR_02","Wet"
22.448979592,"PR_02","Wet"
2.04081632628571,"PR_02","Wet"
73.4693877557143,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
18.3673469414286,"PR_02","Wet"
22.448979592,"PR_02","Wet"
24.4897959171429,"PR_02","Wet"
36.7346938785714,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
2.04081632657143,"PR_02","Wet"
16.3265306105714,"PR_02","Wet"
61.2244897914286,"PR_02","Wet"
77.5510204071429,"PR_02","Wet"
63.2653061228571,"PR_02","Wet"
18.3673469414286,"PR_02","Wet"
20.4081632674286,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
20.4081632674286,"PR_02","Wet"
46.9387755114286,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
44.89795918,"PR_02","Wet"
12.2448979591429,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
38.7755102071429,"PR_02","Wet"
14.2857142848571,"PR_02","Wet"
26.5306122485714,"PR_02","Wet"
12.2448979591429,"PR_02","Wet"
2.04081632657143,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
10.2040816334286,"PR_02","Wet"
2.04081632657143,"PR_02","Wet"
30.6122449,"PR_02","Wet"
42.85714286,"PR_02","Wet"
46.9387755114286,"PR_02","Wet"
77.5510204071429,"PR_02","Wet"
8.16326530771429,"PR_02","Wet"
16.3265306105714,"PR_02","Wet"
16.3265306105714,"PR_02","Wet"
16.3265306131429,"PR_02","Wet"
40.8163265342857,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
38.7755102071429,"PR_02","Wet"
65.3061224471429,"PR_02","Wet"
2.04081632628571,"PR_02","Wet"
63.2653061228571,"PR_02","Wet"
24.4897959188571,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
24.4897959171429,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
46.93877551,"PR_02","Wet"
46.9387755114286,"PR_02","Wet"
40.8163265285714,"PR_02","Wet"
16.3265306142857,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
63.2653061214286,"PR_02","Wet"
24.4897959171429,"PR_02","Wet"
44.89795918,"PR_02","Wet"
22.4489795928571,"PR_02","Wet"
28.57142857,"PR_02","Wet"
0,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
14.2857142848571,"PR_02","Wet"
75.5102040814286,"PR_02","Wet"
59.1836734657143,"PR_02","Wet"
16.3265306117143,"PR_02","Wet"
63.2653061228571,"PR_02","Wet"
26.5306122442857,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
24.4897959171429,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
20.4081632662857,"PR_02","Wet"
2.04081632657143,"PR_02","Wet"
28.57142857,"PR_02","Wet"
36.7346938757143,"PR_02","Wet"
48.9795918357143,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
22.4489795928571,"PR_02","Wet"
18.36734694,"PR_02","Wet"
40.8163265328571,"PR_02","Wet"
16.32653061,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
20.4081632671429,"PR_02","Wet"
14.285714286,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
65.3061224485714,"PR_02","Wet"
14.28571429,"PR_02","Wet"
30.6122449,"PR_02","Wet"
61.2244897971429,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
77.5510204071429,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
65.3061224485714,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
46.9387755114286,"PR_02","Wet"
10.2040816334286,"PR_02","Wet"
26.5306122428571,"PR_02","Wet"
26.5306122428571,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
46.93877551,"PR_02","Wet"
20.4081632671429,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
30.6122449,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
44.89795918,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
30.6122449,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
16.3265306142857,"PR_02","Wet"
24.4897959185714,"PR_02","Wet"
28.57142857,"PR_02","Wet"
38.7755102028571,"PR_02","Wet"
28.57142857,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
65.3061224471429,"PR_02","Wet"
26.5306122442857,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
14.2857142842857,"PR_02","Wet"
75.5102040814286,"PR_02","Wet"
10.2040816334286,"PR_02","Wet"
30.6122448957143,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
67.3469387785714,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
30.6122449,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
20.4081632674286,"PR_02","Wet"
34.6938775528571,"PR_02","Wet"
26.5306122485714,"PR_02","Wet"
57.14285714,"PR_02","Wet"
38.7755102042857,"PR_02","Wet"
8.16326530771429,"PR_02","Wet"
57.14285714,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
59.18367347,"PR_02","Wet"
22.4489795914286,"PR_02","Wet"
57.14285714,"PR_02","Wet"
26.5306122442857,"PR_02","Wet"
44.8979591857143,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
24.4897959177143,"PR_02","Wet"
26.5306122445714,"PR_02","Wet"
38.7755102028571,"PR_02","Wet"
65.3061224485714,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
14.2857142842857,"PR_02","Wet"
71.4285714257143,"PR_02","Wet"
42.85714286,"PR_02","Wet"
20.4081632662857,"PR_02","Wet"
38.7755102028571,"PR_02","Wet"
48.9795918357143,"PR_02","Wet"
18.3673469405714,"PR_02","Wet"
28.5714285702857,"PR_02","Wet"
14.2857142842857,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
26.5306122485714,"PR_02","Wet"
16.3265306142857,"PR_02","Wet"
42.85714286,"PR_02","Wet"
59.18367347,"PR_02","Wet"
42.8571428542857,"PR_02","Wet"
12.2448979591429,"PR_02","Wet"
30.6122449,"PR_02","Wet"
44.8979591857143,"PR_02","Wet"
30.6122448957143,"PR_02","Wet"
59.1836734714286,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
30.6122449,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
16.32653061,"PR_02","Wet"
40.8163265285714,"PR_02","Wet"
36.7346938785714,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
14.2857142842857,"PR_02","Wet"
22.4489795928571,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
38.7755102071429,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
14.2857142842857,"PR_02","Wet"
28.5714285685714,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
42.85714286,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
44.8979591857143,"PR_02","Wet"
40.8163265285714,"PR_02","Wet"
38.7755102028571,"PR_02","Wet"
6.12244897942857,"PR_02","Wet"
48.9795918371429,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
34.6938775471429,"PR_02","Wet"
24.4897959188571,"PR_02","Wet"
22.4489795914286,"PR_02","Wet"
12.2448979591429,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
40.8163265285714,"PR_02","Wet"
46.9387755114286,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
2.04081632657143,"PR_02","Wet"
20.4081632662857,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
16.3265306117143,"PR_02","Wet"
26.5306122445714,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
44.8979591857143,"PR_02","Wet"
10.2040816334286,"PR_02","Wet"
28.5714285685714,"PR_02","Wet"
26.5306122428571,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
38.7755102028571,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
18.3673469414286,"PR_02","Wet"
16.32653061,"PR_02","Wet"
48.9795918371429,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
24.4897959185714,"PR_02","Wet"
75.5102040814286,"PR_02","Wet"
22.448979592,"PR_02","Wet"
20.4081632662857,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
30.6122449,"PR_02","Wet"
65.3061224471429,"PR_02","Wet"
32.6530612214286,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
40.8163265342857,"PR_02","Wet"
14.2857142848571,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
8.16326530628571,"PR_02","Wet"
20.4081632657143,"PR_02","Wet"
59.1836734657143,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
22.4489795928571,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
18.3673469414286,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
24.4897959185714,"PR_02","Wet"
69.3877551,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
38.7755102042857,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
14.2857142842857,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
12.2448979602857,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
44.8979591857143,"PR_02","Wet"
24.4897959228571,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
40.81632653,"PR_02","Wet"
18.3673469357143,"PR_02","Wet"
4.08163265285714,"PR_02","Wet"
30.6122449,"PR_02","Wet"
16.3265306157143,"PR_02","Wet"
40.8163265285714,"PR_02","Wet"
69.3877551,"PR_02","Wet"
69.3877551,"PR_02","Wet"
57.14285714,"PR_02","Wet"
30.6122449,"PR_02","Wet"
48.9795918371429,"PR_02","Wet"
42.8571428542857,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
57.14285714,"PR_02","Wet"
63.2653061228571,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
26.5306122442857,"PR_02","Wet"
71.42857143,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
24.4897959188571,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
46.93877551,"PR_02","Wet"
38.7755102028571,"PR_02","Wet"
55.1020408142857,"PR_02","Wet"
34.6938775528571,"PR_02","Wet"
51.0204081671428,"PR_02","Wet"
48.9795918371429,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
24.4897959177143,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
30.6122449,"PR_02","Wet"
44.8979591857143,"PR_02","Wet"
22.4489795928571,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
55.1020408142857,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
65.3061224471429,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
16.3265306105714,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
61.2244897914286,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
32.65306122,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
16.3265306142857,"PR_02","Wet"
44.8979591857143,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
65.3061224485714,"PR_02","Wet"
65.3061224485714,"PR_02","Wet"
20.4081632614286,"PR_02","Wet"
40.8163265285714,"PR_02","Wet"
22.4489795914286,"PR_02","Wet"
14.2857142848571,"PR_02","Wet"
57.14285714,"PR_02","Wet"
22.4489795914286,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
22.4489795914286,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
22.4489795914286,"PR_02","Wet"
57.1428571442857,"PR_02","Wet"
61.2244897971429,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
14.2857142842857,"PR_02","Wet"
12.2448979602857,"PR_02","Wet"
65.3061224471429,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
20.4081632614286,"PR_02","Wet"
20.4081632614286,"PR_02","Wet"
61.2244897971429,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
30.6122448957143,"PR_02","Wet"
40.8163265285714,"PR_02","Wet"
16.3265306142857,"PR_02","Wet"
53.0612244928571,"PR_02","Wet"
24.4897959185714,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
22.4489795914286,"PR_02","Wet"
55.1020408142857,"PR_02","Wet"
20.4081632674286,"PR_02","Wet"
59.1836734657143,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
57.14285714,"PR_02","Wet"
18.3673469374286,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
16.3265306142857,"PR_02","Wet"
40.8163265285714,"PR_02","Wet"
44.8979591857143,"PR_02","Wet"
42.8571428542857,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
22.4489795914286,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
20.4081632614286,"PR_02","Wet"
12.2448979585714,"PR_02","Wet"
24.4897959185714,"PR_02","Wet"
14.2857142842857,"PR_02","Wet"
63.2653061228571,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
73.4693877557143,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
16.3265306142857,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
57.1428571442857,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
51.0204081671428,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
61.2244897971429,"PR_02","Wet"
30.6122449,"PR_02","Wet"
34.6938775471429,"PR_02","Wet"
28.5714285685714,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
26.5306122485714,"PR_02","Wet"
24.4897959228571,"PR_02","Wet"
26.5306122485714,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
51.0204081628571,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
12.2448979602857,"PR_02","Wet"
20.4081632671429,"PR_02","Wet"
48.9795918371429,"PR_02","Wet"
65.3061224528571,"PR_02","Wet"
59.1836734714286,"PR_02","Wet"
18.3673469405714,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
42.85714286,"PR_02","Wet"
55.1020408157143,"PR_02","Wet"
38.7755102028571,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
16.3265306105714,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
18.3673469374286,"PR_02","Wet"
26.5306122434286,"PR_02","Wet"
59.1836734714286,"PR_02","Wet"
44.8979591857143,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
36.7346938757143,"PR_02","Wet"
44.8979591857143,"PR_02","Wet"
22.448979592,"PR_02","Wet"
44.8979591842857,"PR_02","Wet"
14.2857142848571,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
40.8163265285714,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
14.2857142842857,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
14.2857142848571,"PR_02","Wet"
38.7755102028571,"PR_02","Wet"
59.18367347,"PR_02","Wet"
69.3877551042857,"PR_02","Wet"
20.4081632614286,"PR_02","Wet"
44.89795918,"PR_02","Wet"
36.7346938785714,"PR_02","Wet"
40.8163265342857,"PR_02","Wet"
26.5306122485714,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
20.4081632671429,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
55.1020408142857,"PR_02","Wet"
53.0612244885714,"PR_02","Wet"
30.6122449,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
42.85714286,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
18.3673469405714,"PR_02","Wet"
32.6530612257143,"PR_02","Wet"
8.16326530714286,"PR_02","Wet"
59.18367347,"PR_02","Wet"
4.08163265314286,"PR_02","Wet"
59.1836734714286,"PR_02","Wet"
30.6122448942857,"PR_02","Wet"
44.8979591857143,"PR_02","Wet"
65.3061224471429,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
6.12244898142857,"PR_02","Wet"
10.2040816334286,"PR_02","Wet"
18.3673469374286,"PR_02","Wet"
65.3061224485714,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
16.3265306142857,"PR_02","Wet"
30.6122449,"PR_02","Wet"
44.8979591857143,"PR_02","Wet"
48.9795918371429,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
69.3877551,"PR_02","Wet"
30.6122449,"PR_02","Wet"
67.3469387742857,"PR_02","Wet"
69.3877551,"PR_02","Wet"
51.0204081671428,"PR_02","Wet"
34.6938775514286,"PR_02","Wet"
30.6122449,"PR_02","Wet"
46.9387755057143,"PR_02","Wet"
28.5714285742857,"PR_02","Wet"
73.4693877557143,"PR_02","Wet"
24.4897959171429,"PR_02","Wet"
10.2040816328571,"PR_02","Wet"
48.9795918371429,"PR_02","Wet"
14.285714286,"PR_02","Wet"
28.5714285685714,"PR_02","Wet"
77.5510204071429,"PR_02","Wet"
36.7346938771429,"PR_02","Wet"
40.8163265342857,"PR_02","Wet"
